biocPkgName	organism	species	manufacturer	chipName	manufacturerUrl	biocViews
mgu74av2	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74av2probe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74bcdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74b	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74bprobe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74bv2cdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74bv2	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74bv2probe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74ccdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74c	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74cprobe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74cv2cdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74cv2	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
mgu74cv2probe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2		AnnotationData
mguatlas5k	Mus musculus	Mouse 	Clontech	BD Atlas Long Oligos Mouse 5K	http://orders.clontech.com/clontech/atlas/genelists/index.shtml	AnnotationData
mgug4104a	Mus musculus	Mouse 	Agilent			AnnotationData
mgug4120a	Mus musculus	Mouse 	Agilent			AnnotationData
mgug4121a	Mus musculus	Mouse 	Agilent	Mouse	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
mgug4122a	Mus musculus	Mouse 	Agilent	"Mouse Genome,  Whole"	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
mgug4414a	Mus musculus	Mouse 	Agilent	Mouse Genome CGH 44A	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
mmuhomology	Mus musculus	Mouse 				AnnotationData
moe430acdf	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
moe430a	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
moe430aprobe	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
moe430bcdf	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
moe430b	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
moe430bprobe	Mus musculus	Mouse 	Affymetrix	Mouse Expression Set 430	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430	AnnotationData
mouse4302cdf	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430-20	AnnotationData
mouse4302	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430-20	AnnotationData
mouse4302probe	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430-20	AnnotationData
mouse430a2cdf	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430A 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430A-20	AnnotationData
mouse430a2	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430A 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430A-20	AnnotationData
mouse430a2probe	Mus musculus	Mouse 	Affymetrix	Mouse Genome 430A 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=moe430A-20	AnnotationData
mouseCHRLOC	Mus musculus	Mouse 				FunctionalAnnotation
mouseLLMappings	Mus musculus	Mouse 				AnnotationData
mu11ksuba	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu11ksubacdf	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu11ksubaprobe	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu11ksubb	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu11ksubbcdf	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu11ksubbprobe	Mus musculus	Mouse 	Affymetrix	Murine 11K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu11k	AnnotationData
mu19ksuba	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu19ksubacdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu19ksubb	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu19ksubbcdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu19ksubc	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu19ksubccdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 19k Set 	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k	AnnotationData
mu6500subacdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 6500 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu6500	AnnotationData
mu6500subbcdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 6500 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu6500	AnnotationData
mu6500subccdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 6500 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu6500	AnnotationData
mu6500subdcdf	Mus musculus	Mouse 	Affymetrix	Murine Genome 6500 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=mu6500	AnnotationData
